index,time,outdoor_temp,occupancy,step_kwh,cumulative_kwh,price,carbon,step_cost,cumulative_cost,step_co2_kg,cumulative_co2_kg,comfort_violations,heating_setpoint,cooling_setpoint,economizer,mean_zone_temp,max_abs_pmv,peak_co2,temp_SPACE1-1,temp_SPACE2-1,temp_SPACE3-1,temp_SPACE4-1,temp_SPACE5-1,pmv_SPACE1-1,pmv_SPACE2-1,pmv_SPACE3-1,pmv_SPACE4-1,pmv_SPACE5-1,co2_SPACE1-1,co2_SPACE2-1,co2_SPACE3-1,co2_SPACE4-1,co2_SPACE5-1,source,latency_s
291,2026-07-23T00:45:00,24.55,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,22.249,1.127,420.0,22.318,22.311,22.29,22.334,21.994,-1.016,-1.018,-1.025,-1.01,-1.127,420.0,420.0,420.0,420.0,420.0,held,
292,2026-07-23T00:00:00,24.4,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,22.196,1.144,420.0,22.265,22.256,22.236,22.276,21.945,-1.034,-1.037,-1.044,-1.03,-1.144,420.0,420.0,420.0,420.0,420.0,held,
293,2026-07-23T01:15:00,24.4,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,22.144,1.16,420.0,22.213,22.203,22.184,22.22,21.9,-1.052,-1.056,-1.062,-1.05,-1.16,420.0,420.0,420.0,420.0,420.0,held,
294,2026-07-23T01:30:00,24.4,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,22.098,1.175,420.0,22.168,22.155,22.138,22.17,21.858,-1.068,-1.072,-1.078,-1.067,-1.175,420.0,420.0,420.0,420.0,420.0,llm,15.85
295,2026-07-23T01:45:00,24.4,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,22.056,1.188,420.0,22.128,22.112,22.097,22.125,21.818,-1.081,-1.087,-1.092,-1.082,-1.188,420.0,420.0,420.0,420.0,420.0,held,
296,2026-07-23T01:00:00,24.4,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,22.018,1.201,420.0,22.091,22.072,22.059,22.084,21.781,-1.094,-1.101,-1.105,-1.097,-1.201,420.0,420.0,420.0,420.0,420.0,held,
297,2026-07-23T02:15:00,24.275,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,21.982,1.213,420.0,22.058,22.035,22.024,22.045,21.747,-1.106,-1.113,-1.117,-1.11,-1.213,420.0,420.0,420.0,420.0,420.0,held,
298,2026-07-23T02:30:00,24.15,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,21.946,1.224,420.0,22.022,21.998,21.988,22.006,21.714,-1.118,-1.126,-1.13,-1.123,-1.224,420.0,420.0,420.0,420.0,420.0,llm,15.54
299,2026-07-23T02:45:00,24.025,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,21.91,1.235,420.0,21.986,21.96,21.951,21.968,21.684,-1.13,-1.139,-1.142,-1.137,-1.235,420.0,420.0,420.0,420.0,420.0,held,
300,2026-07-23T02:00:00,23.9,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,21.874,1.244,420.0,21.949,21.923,21.914,21.93,21.655,-1.143,-1.152,-1.155,-1.15,-1.244,420.0,420.0,420.0,420.0,420.0,held,
