index,time,outdoor_temp,occupancy,step_kwh,cumulative_kwh,price,carbon,step_cost,cumulative_cost,step_co2_kg,cumulative_co2_kg,comfort_violations,heating_setpoint,cooling_setpoint,economizer,light_level,plug_level,vent_level,mean_zone_temp,max_abs_pmv,peak_co2,step_kwh_hvac,step_kwh_lights,step_kwh_plugs,cumulative_kwh_hvac,cumulative_kwh_lights,cumulative_kwh_plugs,temp_SPACE1-1,temp_SPACE2-1,temp_SPACE3-1,temp_SPACE4-1,temp_SPACE5-1,pmv_SPACE1-1,pmv_SPACE2-1,pmv_SPACE3-1,pmv_SPACE4-1,pmv_SPACE5-1,co2_SPACE1-1,co2_SPACE2-1,co2_SPACE3-1,co2_SPACE4-1,co2_SPACE5-1,source,latency_s
15,2026-07-20T03:45:00,27.525,0.0,0.11875,1.7812,0.09,210.0,0.01069,0.1603,0.02494,0.3741,0,18.0,26.0,0,1.0,1.0,1.0,22.221,1.199,420.0,0.0,0.09375,0.025,0.0,1.4063,0.375,22.382,22.3,22.313,22.324,21.788,-0.994,-1.022,-1.018,-1.014,-1.199,420.0,420.0,420.0,420.0,420.0,baseline,
16,2026-07-20T03:00:00,27.8,0.0,0.11875,1.9,0.09,210.0,0.01069,0.171,0.02494,0.399,0,18.0,26.0,0,1.0,1.0,1.0,22.211,1.206,420.0,0.0,0.09375,0.025,0.0,1.5,0.4,22.379,22.29,22.309,22.311,21.766,-0.995,-1.025,-1.019,-1.018,-1.206,420.0,420.0,420.0,420.0,420.0,baseline,
17,2026-07-20T04:15:00,27.65,0.0,0.11875,2.0187,0.09,210.0,0.01069,0.1817,0.02494,0.4239,0,18.0,26.0,0,1.0,1.0,1.0,22.205,1.213,420.0,0.0,0.09375,0.025,0.0,1.5938,0.425,22.38,22.285,22.309,22.303,21.747,-0.994,-1.027,-1.019,-1.021,-1.213,420.0,420.0,420.0,420.0,420.0,baseline,
18,2026-07-20T04:30:00,27.5,0.0,0.11875,2.1375,0.09,210.0,0.01069,0.1924,0.02494,0.4489,0,18.0,26.0,0,1.0,1.0,1.0,22.194,1.219,420.0,0.0,0.09375,0.025,0.0,1.6875,0.45,22.374,22.275,22.303,22.291,21.729,-0.997,-1.031,-1.021,-1.025,-1.219,420.0,420.0,420.0,420.0,420.0,baseline,
19,2026-07-20T04:45:00,27.35,0.0,0.11875,2.2562,0.09,210.0,0.01069,0.2031,0.02494,0.4738,0,18.0,26.0,0,1.0,1.0,1.0,22.18,1.225,420.0,0.0,0.09375,0.025,0.0,1.7813,0.475,22.36,22.261,22.29,22.275,21.713,-1.001,-1.036,-1.025,-1.031,-1.225,420.0,420.0,420.0,420.0,420.0,baseline,
20,2026-07-20T04:00:00,27.2,0.0,0.11875,2.375,0.09,210.0,0.01069,0.2137,0.02494,0.4988,0,18.0,26.0,0,1.0,1.0,1.0,22.164,1.23,420.0,0.0,0.09375,0.025,0.0,1.875,0.5,22.343,22.246,22.275,22.258,21.698,-1.007,-1.041,-1.031,-1.037,-1.23,420.0,420.0,420.0,420.0,420.0,baseline,
21,2026-07-20T05:15:00,27.075,0.0,0.11875,2.4937,0.09,210.0,0.01069,0.2244,0.02494,0.5237,0,18.0,26.0,0,1.0,1.0,1.0,22.147,1.235,420.0,0.0,0.09375,0.025,0.0,1.9688,0.525,22.324,22.23,22.259,22.241,21.684,-1.014,-1.046,-1.036,-1.043,-1.235,420.0,420.0,420.0,420.0,420.0,baseline,
22,2026-07-20T05:30:00,26.95,0.0,0.11875,2.6125,0.09,210.0,0.01069,0.2351,0.02494,0.5486,0,18.0,26.0,0,1.0,1.0,1.0,22.13,1.239,420.0,0.0,0.09375,0.025,0.0,2.0625,0.55,22.304,22.212,22.24,22.221,21.67,-1.021,-1.052,-1.043,-1.049,-1.239,420.0,420.0,420.0,420.0,420.0,baseline,
23,2026-07-20T05:45:00,26.825,0.0,0.11875,2.7312,0.09,210.0,0.01069,0.2458,0.02494,0.5736,0,18.0,26.0,0,1.0,1.0,1.0,22.11,1.244,420.0,0.0,0.09375,0.025,0.0,2.1563,0.575,22.282,22.193,22.218,22.2,21.658,-1.028,-1.059,-1.05,-1.056,-1.244,420.0,420.0,420.0,420.0,420.0,baseline,
24,2026-07-20T05:00:00,26.7,0.0,0.11875,2.85,0.09,210.0,0.01069,0.2565,0.02494,0.5985,0,18.0,26.0,0,1.0,1.0,1.0,22.09,1.248,420.0,0.0,0.09375,0.025,0.0,2.25,0.6,22.259,22.171,22.195,22.178,21.645,-1.036,-1.067,-1.058,-1.064,-1.248,420.0,420.0,420.0,420.0,420.0,baseline,
25,2026-07-20T06:15:00,27.25,0.0,0.11875,2.9687,0.09,206.7,0.01069,0.2672,0.02454,0.623,0,18.0,26.0,0,1.0,1.0,1.0,22.167,1.251,420.0,0.0,0.09375,0.025,0.0,2.3438,0.625,22.255,22.338,22.427,22.181,21.635,-1.038,-1.009,-0.978,-1.063,-1.251,420.0,420.0,420.0,420.0,420.0,baseline,
26,2026-07-20T06:38:00,27.8,0.089,0.11875,3.0875,0.09,201.6,0.01069,0.2779,0.02394,0.647,0,18.0,26.0,0,1.0,1.0,1.0,22.325,1.252,451.1,0.0,0.09375,0.025,0.0,2.4375,0.65,22.286,22.653,22.832,22.221,21.633,-1.027,-0.901,-0.842,-1.05,-1.252,451.1,451.1,451.1,451.1,451.1,baseline,
27,2026-07-20T06:53:00,28.35,0.256,0.11875,3.2062,0.09,198.3,0.01069,0.2886,0.02355,0.6705,4,18.0,26.0,0,1.0,1.0,1.0,22.541,1.249,509.4,0.0,0.09375,0.025,0.0,2.5313,0.675,22.353,23.07,23.343,22.295,21.643,-1.004,-0.765,-0.676,-1.024,-1.249,509.4,509.4,509.4,509.4,509.4,baseline,
28,2026-07-20T06:08:00,28.9,0.0,0.11875,3.325,0.09,208.2,0.01069,0.2992,0.02473,0.6953,0,18.0,26.0,0,1.0,1.0,1.0,22.775,1.241,420.0,0.0,0.09375,0.025,0.0,2.625,0.7,22.444,23.525,23.845,22.393,21.666,-0.973,-0.617,-0.512,-0.99,-1.241,420.0,420.0,420.0,420.0,420.0,baseline,
29,2026-07-20T07:23:00,29.175,0.589,0.11875,3.4437,0.16,192.0,0.019,0.3182,0.02279,0.7181,3,18.0,26.0,0,1.0,1.0,1.0,23.044,1.228,626.1,0.0,0.09375,0.025,0.0,2.7188,0.725,22.557,24.056,24.391,22.514,21.703,-0.934,-0.443,-0.333,-0.948,-1.228,626.1,626.1,626.1,626.1,626.1,baseline,
30,2026-07-20T07:38:00,29.45,0.756,0.11875,3.5625,0.16,188.9,0.019,0.3372,0.02243,0.7405,3,18.0,26.0,0,1.0,1.0,1.0,23.333,1.211,684.4,0.0,0.09375,0.025,0.0,2.8125,0.75,22.68,24.638,24.947,22.649,21.752,-0.892,-0.252,-0.15,-0.902,-1.211,684.4,684.4,684.4,684.4,684.4,baseline,
31,2026-07-20T07:50:00,29.725,0.889,0.11875,3.6812,0.16,186.4,0.019,0.3563,0.02214,0.7626,3,18.0,26.0,0,1.0,1.0,1.0,23.616,1.193,731.1,0.0,0.09375,0.025,0.0,2.9063,0.775,22.805,25.224,25.457,22.789,21.805,-0.851,-0.059,0.018,-0.856,-1.193,731.1,731.1,731.1,731.1,731.1,baseline,
32,2026-07-20T07:05:00,30.0,0.389,0.32703,4.0083,0.16,195.8,0.05233,0.4086,0.06402,0.8266,3,18.0,26.0,0,1.0,1.0,1.0,23.923,1.166,556.1,0.20828,0.09375,0.025,0.2083,3.0,0.8,22.963,25.861,25.947,22.964,21.883,-0.8,0.152,0.181,-0.799,-1.166,556.1,556.1,556.1,556.1,556.1,baseline,
