index,time,outdoor_temp,occupancy,step_kwh,cumulative_kwh,price,carbon,step_cost,cumulative_cost,step_co2_kg,cumulative_co2_kg,comfort_violations,heating_setpoint,cooling_setpoint,economizer,light_level,plug_level,vent_level,mean_zone_temp,max_abs_pmv,peak_co2,step_kwh_hvac,step_kwh_lights,step_kwh_plugs,cumulative_kwh_hvac,cumulative_kwh_lights,cumulative_kwh_plugs,temp_SPACE1-1,temp_SPACE2-1,temp_SPACE3-1,temp_SPACE4-1,temp_SPACE5-1,pmv_SPACE1-1,pmv_SPACE2-1,pmv_SPACE3-1,pmv_SPACE4-1,pmv_SPACE5-1,co2_SPACE1-1,co2_SPACE2-1,co2_SPACE3-1,co2_SPACE4-1,co2_SPACE5-1,source,latency_s
59,2026-07-20T14:45:00,33.3,1.0,4.25394,99.3879,0.42,162.9,1.78665,18.9687,0.6931,16.1679,0,21.0,26.0,0,1.0,1.0,1.0,26.0,0.198,770.0,1.37894,1.875,1.0,30.7466,42.6562,25.985,26.0,26.0,26.0,26.0,26.0,0.198,0.198,0.198,0.198,0.198,770.0,770.0,770.0,770.0,770.0,held,
60,2026-07-20T14:00:00,33.3,1.0,4.27851,103.6664,0.42,158.6,1.79697,20.7656,0.67846,16.8463,0,21.0,26.0,0,1.0,1.0,1.0,26.0,0.198,770.0,1.40351,1.875,1.0,32.1501,44.5312,26.985,26.0,26.0,26.0,26.0,26.0,0.198,0.198,0.198,0.198,0.198,770.0,770.0,770.0,770.0,770.0,held,
61,2026-07-20T15:15:00,33.3,1.0,4.29906,107.9654,0.42,166.7,1.80561,22.5712,0.71667,17.563,0,21.0,26.0,0,1.0,1.0,1.0,26.0,0.198,770.0,1.42406,1.875,1.0,33.5742,46.4062,27.985,26.0,26.0,26.0,26.0,26.0,0.198,0.198,0.198,0.198,0.198,770.0,770.0,770.0,770.0,770.0,held,
62,2026-07-20T15:30:00,33.3,1.0,4.15069,112.1161,0.42,168.8,1.74329,24.3145,0.70077,18.2638,0,21.0,26.0,0,1.0,1.0,1.0,26.0,0.198,770.0,1.40069,1.875,0.875,34.9749,48.2812,28.86,26.0,26.0,26.0,26.0,26.0,0.198,0.198,0.198,0.198,0.198,770.0,770.0,770.0,770.0,770.0,llm,14.84
63,2026-07-20T15:45:00,33.3,1.0,4.16686,116.283,0.42,171.1,1.75008,26.0646,0.71299,18.9768,0,21.0,26.0,0,1.0,1.0,1.0,26.0,0.198,770.0,1.41686,1.875,0.875,36.3917,50.1562,29.735,26.0,26.0,26.0,26.0,26.0,0.198,0.198,0.198,0.198,0.198,770.0,770.0,770.0,770.0,770.0,held,
64,2026-07-20T15:00:00,33.3,1.0,4.176,120.459,0.42,164.7,1.75392,27.8185,0.68794,19.6647,0,21.0,26.0,0,1.0,1.0,1.0,26.0,0.198,770.0,1.426,1.875,0.875,37.8177,52.0312,30.61,26.0,26.0,26.0,26.0,26.0,0.198,0.198,0.198,0.198,0.198,770.0,770.0,770.0,770.0,770.0,held,
65,2026-07-20T16:15:00,33.175,1.0,4.18305,124.642,0.42,496.1,1.75688,29.5754,2.07513,21.7398,0,21.0,26.0,0,1.0,1.0,1.0,26.0,0.198,770.0,1.43305,1.875,0.875,39.2508,53.9062,31.485,26.0,26.0,26.0,26.0,26.0,0.198,0.198,0.198,0.198,0.198,770.0,770.0,770.0,770.0,770.0,held,
66,2026-07-20T16:33:00,33.05,1.0,2.66934,127.3114,0.42,499.3,1.12112,30.6965,1.33282,23.0727,0,21.0,24.5,0,0.75,0.85,1.0,24.535,0.297,770.0,0.73184,1.40625,0.53125,39.9826,55.3125,32.0162,24.541,24.541,24.541,24.553,24.501,-0.284,-0.284,-0.284,-0.28,-0.297,770.0,770.0,770.0,770.0,770.0,llm,15.51
67,2026-07-20T16:45:00,32.925,1.0,3.28233,130.5937,0.42,501.5,1.37858,32.0751,1.64624,24.7189,0,21.0,24.5,0,0.75,0.85,1.0,24.5,0.297,770.0,1.34483,1.40625,0.53125,41.3275,56.7188,32.5475,24.5,24.5,24.5,24.5,24.5,-0.297,-0.297,-0.297,-0.297,-0.297,770.0,770.0,770.0,770.0,770.0,held,
68,2026-07-20T16:00:00,32.8,1.0,3.55878,134.1525,0.42,493.5,1.49469,33.5698,1.75636,26.4753,0,21.0,24.5,0,0.75,0.85,1.0,24.5,0.297,770.0,1.62128,1.40625,0.53125,42.9487,58.125,33.0787,24.5,24.5,24.5,24.5,24.5,-0.297,-0.297,-0.297,-0.297,-0.297,770.0,770.0,770.0,770.0,770.0,held,
69,2026-07-20T17:15:00,32.525,0.875,3.43194,137.5844,0.42,507.4,1.44142,35.0112,1.74146,28.2167,0,21.0,24.5,0,0.75,0.85,1.0,24.5,0.297,726.2,1.49444,1.40625,0.53125,44.4432,59.5312,33.61,24.5,24.5,24.5,24.5,24.5,-0.297,-0.297,-0.297,-0.297,-0.297,726.2,726.2,726.2,726.2,726.2,held,
70,2026-07-20T17:33:00,32.25,0.725,2.54836,140.1328,0.42,511.1,1.07031,36.0815,1.30252,29.5192,0,21.0,26.0,0,0.75,0.85,1.0,25.797,0.182,673.7,0.61086,1.40625,0.53125,45.054,60.9375,34.1412,25.818,25.814,25.804,25.951,25.598,0.138,0.137,0.133,0.182,0.065,673.7,673.7,673.7,673.7,673.7,llm,15.69
71,2026-07-20T17:53:00,31.975,0.558,2.7364,142.8692,0.42,515.3,1.14929,37.2308,1.41017,30.9294,0,21.0,26.0,0,0.75,0.85,1.0,25.995,0.197,615.4,0.7989,1.40625,0.53125,45.8529,62.3438,34.6725,25.994,25.995,25.994,25.996,25.997,0.197,0.197,0.197,0.197,0.197,615.4,615.4,615.4,615.4,615.4,held,
72,2026-07-20T17:00:00,31.7,1.0,3.01254,145.8817,0.42,504.4,1.26527,38.4961,1.51965,32.4491,0,21.0,26.0,0,0.75,0.85,1.0,26.0,0.198,770.0,1.07504,1.40625,0.53125,46.928,63.75,35.2037,26.0,26.0,26.0,26.0,26.0,0.198,0.198,0.198,0.198,0.198,770.0,770.0,770.0,770.0,770.0,held,
73,2026-07-20T18:15:00,31.425,0.375,3.02548,148.9072,0.42,520.1,1.2707,39.7668,1.57351,34.0226,0,21.0,26.0,0,0.75,0.85,1.0,26.0,0.198,551.2,1.08798,1.40625,0.53125,48.016,65.1562,35.735,26.0,26.0,26.0,26.0,26.0,0.198,0.198,0.198,0.198,0.198,551.2,551.2,551.2,551.2,551.2,held,
74,2026-07-20T18:33:00,31.15,0.225,1.82745,150.7347,0.42,524.0,0.76753,40.5343,0.95764,34.9802,0,21.0,24.5,0,0.75,0.85,1.0,24.503,0.327,498.7,0.66495,0.84375,0.31875,48.6809,66.0,36.0538,24.519,24.523,24.513,24.547,24.411,-0.291,-0.29,-0.293,-0.282,-0.327,498.7,498.7,498.7,498.7,498.7,llm,16.39
75,2026-07-20T18:45:00,30.875,0.125,1.91272,152.6474,0.42,526.7,0.80334,41.3376,1.00739,35.9876,0,21.0,24.5,0,0.75,0.85,1.0,24.496,0.304,463.8,0.75022,0.84375,0.31875,49.4311,66.8438,36.3725,24.5,24.5,24.5,24.5,24.479,-0.297,-0.297,-0.297,-0.297,-0.304,463.8,463.8,463.8,463.8,463.8,held,
76,2026-07-20T18:00:00,30.6,0.5,2.30913,154.9565,0.42,516.8,0.96984,42.3075,1.19345,37.181,0,21.0,24.5,0,0.75,0.85,1.0,24.5,0.298,595.0,1.14663,0.84375,0.31875,50.5778,67.6875,36.6913,24.5,24.5,24.5,24.5,24.499,-0.297,-0.297,-0.297,-0.297,-0.298,595.0,595.0,595.0,595.0,595.0,held,
77,2026-07-20T19:15:00,30.3,0.0,2.15064,157.1072,0.16,530.0,0.3441,42.6516,1.13984,38.3209,0,21.0,24.5,0,0.75,0.85,1.0,24.5,0.297,420.0,0.98814,0.84375,0.31875,51.5659,68.5312,37.01,24.5,24.5,24.5,24.5,24.5,-0.297,-0.297,-0.297,-0.297,-0.297,420.0,420.0,420.0,420.0,420.0,held,
78,2026-07-20T19:34:00,30.0,0.0,0.13125,157.2384,0.16,530.0,0.021,42.6726,0.06956,38.3904,0,18.0,28.0,0,0.05,0.3,0.15,24.881,0.354,420.0,0.0,0.01875,0.1125,51.5659,68.55,37.1225,24.821,24.746,24.742,25.767,24.327,-0.192,-0.216,-0.218,0.121,-0.354,420.0,420.0,420.0,420.0,420.0,llm,17.95
79,2026-07-20T19:50:00,29.7,0.0,0.13125,157.3697,0.16,530.0,0.021,42.6936,0.06956,38.46,0,18.0,28.0,0,0.05,0.3,0.15,24.967,0.42,420.0,0.0,0.01875,0.1125,51.5659,68.5687,37.235,24.878,24.754,24.761,26.314,24.127,-0.173,-0.214,-0.211,0.303,-0.42,420.0,420.0,420.0,420.0,420.0,held,
